Method,Dataset,Accuracy
ISD,ACSF1,0.9233333333333330
MiniROCKET,ACSF1,0.9166666666666670
RASTER,ACSF1,0.86
RASTER2,ACSF1,0.87
ISD,Adiac,0.8394970161977840
MiniROCKET,Adiac,0.8320545609548170
RASTER,Adiac,0.8312020460358060
RASTER2,Adiac,0.8312020460358060
ISD,ArrowHead,0.8457142857142860
MiniROCKET,ArrowHead,0.8533333333333330
RASTER,ArrowHead,0.84
RASTER2,ArrowHead,0.84
ISD,BME,1.0
MiniROCKET,BME,1.0
RASTER,BME,1.0
RASTER2,BME,1.0
ISD,Beef,0.8666666666666670
MiniROCKET,Beef,0.8333333333333330
RASTER,Beef,0.8666666666666670
RASTER2,Beef,0.8666666666666670
ISD,BeetleFly,0.95
MiniROCKET,BeetleFly,0.9
RASTER,BeetleFly,0.875
RASTER2,BeetleFly,0.95
ISD,BirdChicken,0.9666666666666670
MiniROCKET,BirdChicken,0.9
RASTER,BirdChicken,1.0
RASTER2,BirdChicken,0.9
ISD,CBF,0.9977777777777780
MiniROCKET,CBF,0.9988888888888890
RASTER,CBF,0.9972222222222220
RASTER2,CBF,0.9988888888888890
ISD,Car,0.9166666
MiniROCKET,Car,0.9166666666666670
RASTER,Car,0.9
RASTER2,Car,0.9166666666666670
ISD,Chinatown,0.9844509232264330
MiniROCKET,Chinatown,0.9825072886297380
RASTER,Chinatown,0.9854227405247810
RASTER2,Chinatown,0.9825072886297380
ISD,ChlorineConcentration,0.7615451388888890
MiniROCKET,ChlorineConcentration,0.75625
RASTER,ChlorineConcentration,0.7614583333333330
RASTER2,ChlorineConcentration,0.7638020833333330
ISD,CinCECGTorso,0.962512077294686
MiniROCKET,CinCECGTorso,0.868840579710145
RASTER,CinCECGTorso,0.9311594202898550
RASTER2,CinCECGTorso,0.9644927536231880
ISD,Coffee,1.0
MiniROCKET,Coffee,1.0
RASTER,Coffee,1.0
RASTER2,Coffee,1.0
ISD,Computers,0.7570000000000000
MiniROCKET,Computers,0.6960000000000000
RASTER,Computers,0.74
RASTER2,Computers,0.756
ISD,CricketX,0.8256410256410260
MiniROCKET,CricketX,0.8076923076923080
RASTER,CricketX,0.8115384615384620
RASTER2,CricketX,0.8256410256410260
ISD,CricketY,0.8358974358974360
MiniROCKET,CricketY,0.8316239316239320
RASTER,CricketY,0.8179487179487180
RASTER2,CricketY,0.8358974358974360
ISD,CricketZ,0.8564102564102560
MiniROCKET,CricketZ,0.8230769230769230
RASTER,CricketZ,0.8371794871794870
RASTER2,CricketZ,0.8564102564102560
ISD,Crop,0.770515873015873
MiniROCKET,Crop,0.7630753968253970
RASTER,Crop,0.7734821428571430
RASTER2,Crop,0.7658928571428570
ISD,DiatomSizeReduction,0.9782135076252720
MiniROCKET,DiatomSizeReduction,0.9215686274509800
RASTER,DiatomSizeReduction,0.9803921568627450
RASTER2,DiatomSizeReduction,0.9705882352941180
ISD,DistalPhalanxOutlineAgeGroup,0.7338129496402880
MiniROCKET,DistalPhalanxOutlineAgeGroup,0.7050359712230220
RASTER,DistalPhalanxOutlineAgeGroup,0.7338129496402880
RASTER2,DistalPhalanxOutlineAgeGroup,0.7266187050359710
ISD,DistalPhalanxOutlineCorrect,0.7765700483091790
MiniROCKET,DistalPhalanxOutlineCorrect,0.7729468599033820
RASTER,DistalPhalanxOutlineCorrect,0.7735507246376810
RASTER2,DistalPhalanxOutlineCorrect,0.7644927536231880
ISD,DistalPhalanxTW,0.6642685851318950
MiniROCKET,DistalPhalanxTW,0.6810551558753000
RASTER,DistalPhalanxTW,0.6618705035971220
RASTER2,DistalPhalanxTW,0.697841726618705
ISD,ECG200,0.91
MiniROCKET,ECG200,0.9
RASTER,ECG200,0.905
RASTER2,ECG200,0.91
ISD,ECG5000,0.9413333333333330
MiniROCKET,ECG5000,0.9397037037037040
RASTER,ECG5000,0.942
RASTER2,ECG5000,0.9388888888888890
ISD,ECGFiveDays,0.9992257065427800
MiniROCKET,ECGFiveDays,1.0
RASTER,ECGFiveDays,0.9988385598141700
RASTER2,ECGFiveDays,1.0
ISD,EOGHorizontalSignal,0.5966850828729280
MiniROCKET,EOGHorizontalSignal,0.5976058931860040
RASTER,EOGHorizontalSignal,0.6174033149171270
RASTER2,EOGHorizontalSignal,0.6104972375690610
ISD,EOGVerticalSignal,0.5532780847145490
MiniROCKET,EOGVerticalSignal,0.5460405156537750
RASTER,EOGVerticalSignal,0.5580110497237570
RASTER2,EOGVerticalSignal,0.5386740331491710
ISD,Earthquakes,0.7410071942446040
MiniROCKET,Earthquakes,0.7434052757793760
RASTER,Earthquakes,0.7266187050359710
RASTER2,Earthquakes,0.7410071942446040
ISD,ElectricDevices,0.7245925733800200
MiniROCKET,ElectricDevices,0.7260623351921500
RASTER,ElectricDevices,0.7198158474905980
RASTER2,ElectricDevices,0.7286992607962650
ISD,EthanolLevel,0.608
MiniROCKET,EthanolLevel,0.598
RASTER,EthanolLevel,0.593
RASTER2,EthanolLevel,0.608
ISD,FaceAll,0.8159171597633140
MiniROCKET,FaceAll,0.8047337278106510
RASTER,FaceAll,0.8035502958579880
RASTER2,FaceAll,0.8059171597633140
ISD,FaceFour,0.9924242424242420
MiniROCKET,FaceFour,0.9886363636363640
RASTER,FaceFour,1.0
RASTER2,FaceFour,0.9659090909090910
ISD,FacesUCR,0.96260162601626
MiniROCKET,FacesUCR,0.9557723577235770
RASTER,FacesUCR,0.9653658536585370
RASTER2,FacesUCR,0.9560975609756100
ISD,FiftyWords,0.865934065934066
MiniROCKET,FiftyWords,0.8571428571428570
RASTER,FiftyWords,0.8681318681318680
RASTER2,FiftyWords,0.8615384615384620
ISD,Fish,0.979047619047619
MiniROCKET,Fish,0.9790476190476190
RASTER,Fish,0.98
RASTER2,Fish,0.9771428571428570
ISD,FordA,0.9469696969696970
MiniROCKET,FordA,0.9469696969696970
RASTER,FordA,0.9352272727272730
RASTER2,FordA,0.9333333333333330
ISD,FordB,0.8131687242798350
MiniROCKET,FordB,0.8123456790123460
RASTER,FordB,0.7882716049382720
RASTER2,FordB,0.7962962962962960
ISD,FreezerRegularTrain,0.998830409356725
MiniROCKET,FreezerRegularTrain,0.9996491228070180
RASTER,FreezerRegularTrain,0.9987719298245610
RASTER2,FreezerRegularTrain,0.99859649122807
ISD,FreezerSmallTrain,0.9642105263157900
MiniROCKET,FreezerSmallTrain,0.9679532163742690
RASTER,FreezerSmallTrain,0.9605263157894740
RASTER2,FreezerSmallTrain,0.9666666666666670
ISD,GunPoint,0.9977777777777780
MiniROCKET,GunPoint,0.9933333333333330
